,original,generated,plainness1,synonymity1,grammaticality1,plainness2,synonymity2,grammaticality2
3206,彼は裏金をもらいました。,彼は裏に金をもらいました。,2,1,2,2,2,2
2785,お手伝いしようか。,手伝いしようか。,2,3,2,2,3,3
4644,網にかかったものは何でも魚だ。,海の流れにかかったものは何でも魚だ。,2,1,2,3,1,3
1324,私たちは互いに慰め合った。,私たちは互いに話した。,3,2,3,3,1,3
627,船便で行くといくらになりますか。,船で行くといくらになりますか。,2,3,3,2,1,3
1193,私は自分の生まれ育った家を覚えている。,私は自分の生まれた家を覚えている。,3,3,3,2,2,3
3965,他人に親切にせよ。,他の人に親切にせよ。,3,3,3,2,3,3
632,彼女は一言も言わないで、出て行った。,彼女は何も言わないで、出て行った。,3,3,3,3,3,3
4798,私はウサギの世話をしなければならない。,私は耳が大きい動物の世話をしなければならない。,2,2,3,2,2,3
2291,私は夏休みには午前中に勉強した。,私は夏の休みには午前中に勉強した。,2,3,3,2,3,3
4345,彼女は夕食後テーブルを離れた。,彼女は夕食後机を離れた。,2,3,3,2,3,3
4681,これを戒めとしなさい。,これを注意する意味としなさい。,1,2,2,3,2,2
1841,今日あなたと一緒に行けるといいんですが。,今日あなたと一緒に行くことができるといいんですが。,2,3,3,2,3,3
2727,同じ事は日本にもあてはまる。,同じ事は日本にも関係している。,1,2,3,2,1,3
2504,どうして帰りがこんなに遅くなったの。,どうして帰るのがこんなに遅くなったの。,2,3,3,2,3,3
754,君はどこへでも好きなところへいっていい。,あなたはどこへでも好きなところへいっていい。,3,3,3,2,3,3
1065,彼は警察官を見つけるやいなや逃げて行った。,彼は警察官を見つけるとすぐに逃げて行った。,3,3,3,3,3,3
2489,あなたは宿題をせっせとやりさえすればよい。,あなたは宿題を急いでやりさえすればよい。,3,3,3,3,3,3
4253,彼は仕事中なので面会は出来ません。,彼は仕事中なので人と会うことは出来ません。,3,3,3,3,3,3
4574,彼はいつも部屋を清潔にしておく。,彼はいつも部屋をきれいにしておく。,3,3,3,3,3,3
3800,私がお手伝いいたしましょうか。,私が手伝うことをやめましょうか。,1,1,2,2,1,1
1192,父は頭がはげてきている。,父は頭が高くなっている。,2,1,2,2,1,3
244,私には君にあったのと同じ悩みがある。,私にはあなたにあったのと同じ困ったことがある。,2,2,2,3,3,1
4981,彼は名門の生まれなのだ。,彼は有名な学校から来た。,3,1,3,3,1,3
2864,皆さんおはよう。,みんなおはよう。,3,3,3,3,3,3
657,彼は頼りになる男だ。,彼は頼ることができる男だ。,3,3,3,3,3,3
3314,雨が止んだ。,雨が終わった。,3,3,2,3,3,2
4776,彼女は琴を弾くことがとても好きだ。,彼女は楽器を弾くことがとても好きだ。,3,2,3,2,2,3
1431,私の父親は２０代で結婚した。,私の父は２０代で結婚した。,2,3,3,2,3,3
4809,君は大変読書力がある。,あなたは大変本を読む力がある。,3,3,3,3,3,3
2467,うわさは本当かもしれない。,人から聞いた話は本当かもしれない。,3,2,2,3,3,3
1746,それは誰にでもたやすくできる。,それは誰にでも簡単にできる。,3,3,3,3,3,3
2710,この手紙を航空便で出してください。,この手紙を飛行機の時間で出してください。,2,1,1,3,1,3
4715,辞書のその文字をご覧。,辞書のその文字を見てください。,3,3,3,3,3,3
4165,彼らはしばしば我々のところへ立ち寄る。,彼らは何度も私たちのところへ来る。,3,2,3,3,2,3
416,彼は東京近郊に住んでいる。,彼は東京の都市近くに住んでいる。,3,3,3,3,3,3
1318,彼はそうする事に後ろめたさを感じなかった。,彼はそうする事に後ろめたさを感じることができなかった。,2,2,2,2,3,3
252,それはいわば生死の問題だ。,それはいわゆる生きているかどうかの問題だ。,3,3,2,2,3,1
3443,彼は彼女と同様泳げない。,彼は彼女と同様泳ぐことができない。,2,3,3,2,3,3
2038,休憩の間にコーヒーを飲みましょう。,休みの間にコーヒーを飲みましょう。,2,3,3,3,3,3
469,以前よりずっと背が高くなりましたね。,前よりずっと背が高くなりましたね。,2,3,3,3,3,3
2685,君はそれをすぐにする必要はない。,あなたはそれをすぐにする必要はない。,2,3,3,3,3,3
7,これから先何をすべきか分からない。,これから先何をするべきか分からない。,2,3,3,2,3,3
700,父は旅慣れしている。,父は旅が普通になっている。,3,2,2,3,2,3
4554,良し、その意気で。,よいことと悪いことの判断で。,3,1,1,2,1,1
2116,わざわざ助けてくださるなんて、あなたはご親切です。,無理して助けてくださるなんて、あなたはご親切です。,3,3,3,3,2,3
1333,つい最近になって初めて彼女は考えを変えた。,最近になって初めて彼女は考えを変えた。,2,2,3,2,3,3
615,両方とも好きというわけではない。,どちらも好きと言うわけではない。,3,3,3,3,3,3
2471,私が大金持ちだと思ってくれては困る。,私がたくさんお金を持っている人だと思ってくれては困る。,3,3,3,3,3,3
2566,飛行機は定刻にニューヨークについた。,飛行機は予定通りにニューヨークについた。,3,3,3,3,3,3
2981,実は私もたったいま着いたばかりなんですよ。,実は私もちょうど今着いたばかりなんですよ。,3,3,3,3,3,3
1812,君は昨日なぜ欠席したのか。,あなたは昨日なぜ休んだのか。,3,3,3,3,3,3
3904,当時彼は一人でその家に住んでいた。,その時彼は一人でその家に住んでいた。,3,3,3,3,3,3
3180,我々は今人手不足だ。,私たちは今人手不足だ。,3,3,3,3,3,3
4926,私達は去年中学１年生でした。,私たちは前の年中学１年生でした。,3,3,3,3,3,3
569,君は辞書の使い方を知っていますか。,あなたは辞書の使い方を知っていますか。,2,3,3,2,3,3
906,君は大きくなったら何になりたいの。,あなたは大きくなったら何になりたいの。,2,3,3,2,3,3
3979,彼は以前会社に歩いて通っていた。,彼は前会社に歩いて通っていた。,2,3,3,3,3,3
174,君の言ってることは筋が通らないぞ。,あなたの言ってることはおかしいぞ。,3,3,3,3,3,3
3259,彼は一生懸命飲んだ。,彼は頑張って飲んだ。,3,3,3,3,3,3
4818,彼が才能ある事は疑い無い。,彼が能力ある事は信じることがない。,2,1,2,2,1,1
2738,彼は空を見上げた。,彼は空を見た。,2,2,3,3,3,3
4310,歩こうとするとここがズキンとします。,歩こうとするとここがわかります。,2,1,1,2,1,2
4225,家を抵当に入れました。,家をお金を多く持って入れました。,2,1,1,3,1,1
4393,バス停は近くだ。,バスが止まるところは近くだ。,3,3,2,3,3,3
3843,息子はもう私と同じ身長だ。,息子はもう私と同じ背の高さだ。,3,3,3,3,3,3
2465,クーラーが故障してしまった。,空気のあたたかさを変える機械が壊れてしまった。,2,2,3,3,2,3
798,彼らは、お互い、手をくんでいる。,彼らは、お互い、手を合わせている。,2,2,2,2,1,3
4387,彼はときどき昼食もそこでとる。,彼は時々昼の食事もそこでとる。,2,3,3,2,3,3
1700,赤ちゃんは猛烈に泣き始めた。,赤ちゃんは心を静かにして泣き始めた。,2,1,3,3,1,2
3041,新しい物事に手を出すのを恐れるな。,新しい事に手を出すのを怖く言うな。,2,2,2,3,2,2
530,この部屋ではぼうしを取ってください。,この部屋では自由を制限するためのものを取ってください。,2,1,2,2,1,3
2860,当地にはほとんど友人はいない。,この地にはほとんど友達はいない。,2,3,3,2,3,3
3067,その店はもう閉まっているかもしれないよ。,その店はもう閉じられているかも。,2,2,2,2,3,2
3710,だいたいにおいて私はその結果に満足している。,ほとんどにおいて私はその結果に満足している。,2,3,3,3,3,3
2870,君はこの問題にどう片をつける気かね。,あなたはこの問題にどう片をつける気かね。,2,3,3,2,3,3
2801,私はちょうどその本を読み終えたところです。,私はちょうどその本を読み終わったところです。,3,3,3,2,3,3
2334,君はなぜ来られないのですか。,あなたはなぜ来られないのですか。,2,3,3,2,3,3
2134,この問題は見かけほど難しくない。,この問題は見ためほど難しくない。,3,3,3,3,3,3
251,みつばちに注意しなさい。,みつけておくことに注意しろ。,2,1,2,2,1,1
4372,名前は何とおっしゃいますか。,名前は何と言いますか。,3,3,3,3,3,3
3621,彼はとても気難しい子だ。,彼はとても難しい子だ。,2,2,3,2,2,3
4543,行くも留まるも自由にしなさい。,行くも残るも自由にしなさい。,3,3,2,3,3,3
3495,昨晩は家にいましたか。,昨日の夜は家にいましたか。,3,3,3,3,3,3
2069,父はテーブル上座も自分の席に着いた。,父は自分の席に着いた。,2,2,3,3,2,3
3770,彼はその強盗事件と関係がある。,彼はその泥棒事件と関係がある。,2,2,3,2,2,3
1787,メアリーはカゴをテーブルの上に置いた。,メアリーは金を机の上においた。,2,1,3,2,1,3
3562,どこかに逃げたいでも行き先さえわからない。,どこかに逃げたいでも名前さえわからない。,2,2,3,2,2,3
1345,電話がないのは不便なことだ。,電話がないのは大変なことだ。,2,2,3,3,2,3
2133,今夜うちにいてくれ。,今夜のうちにいてくれ。,2,1,2,2,1,1
3818,彼は私がうそつきであるかのように言った。,彼は私が嘘を言う人であるかのように言った。,3,3,3,3,3,3
1639,動物は火を恐れる。,動物は火を怖がる。,2,3,3,2,3,3
2388,トムはバスの前部のほうに座っていた。,トムはバスの一番下の方に座っていた。,2,1,3,2,1,3
2915,その少年は、８日間欠席し続けている。,その少年は、８日の間休み続けている。,3,3,3,3,3,3
4635,彼は五年前よりずっと暮し向きがよい。,彼は５年前よりずっと生活がよい。,3,3,3,3,3,3
4475,彼女は見かけほど若くない。,彼女は見ためほど若くない。,3,3,3,3,3,3
4305,年老いたスミスさんは出来るだけお金をためている。,年をとったスミスさんはできるだけお金をためている。,3,3,3,3,3,3
579,このペンが必要でしたらお貸しいたします。,このペンが必要でしたらお貸しします。,2,3,3,2,3,3
4014,私から手を離してくださらない？,私から手を離れてくださらない？,2,2,2,2,2,1
239,みんなが彼女のそばに座りたがる。,みんなが彼女のそばに座りたいと思っている。,3,3,3,2,3,3
3981,賭けてもいいよ。,私が違えばお金を出してもいいよ。,2,1,1,3,2,3
12,会議の議長が病気になった。,会議の会議をまとめる人が病気になった。,3,3,3,3,3,2
4010,父はたった今帰宅しました。,父はちょうど今家に帰りました。,3,3,3,2,3,3
3400,この仕事、死ぬほどしんどい。,この仕事、死ぬほどどんどん。,2,1,1,2,1,1
115,船は３時に出航することになっている。,船は３時に出ることになっている。,3,3,3,3,3,3
802,彼女は来週退院できるでしょうか。,彼女は次の週に病院に帰ることができるでしょうか。,2,1,2,3,1,3
183,彼はまったくの紳士だ。,彼は全くの相手に尊敬の気持ちを持って行動する男性だ。,2,2,2,2,3,3
780,私はそのテニスクラブに所属しています。,私はそのテニスクラブに入っています。,3,3,3,3,3,3
2279,その事件は明るみに出た。,その事件は表に出た。,3,3,3,3,3,2
3779,僕は君と同意見だ。,僕はあなたと同意見だ。,2,3,3,2,3,3
153,その情報のなかには大変重要なものもある。,その情報の中には大変重要なものもある。,2,3,3,2,3,3
4787,彼は速く泳げる。,彼は速く泳ぐことができる。,3,3,3,2,3,3
2907,彼が入った後でドアが閉まった。,彼が入った後でドアが閉じた。,2,2,3,2,3,2
2542,私はいつも夕食後１時間休憩する。,私はいつも夕食後１時間休む。,3,3,3,3,3,3
4707,かなり早めの時間に出発しなければ無かった。,かなり早く時間をかけなければ無かった。,2,1,1,2,1,3
2118,彼にこの手紙を投函させましょうか。,彼にこの手紙を出してくださいましょうか。,2,1,1,3,1,1
3948,あちらに着いたら手紙をください。,いろいろに着いたら手紙をください。,2,1,1,2,2,1
3855,彼ほどの偉人は古来いない。,彼ほどの偉い人は日本においてもいない。,2,1,1,2,2,3
728,荷物を持ち歩く必要はありません。,荷物を持って歩いている必要はありません。,2,2,2,3,3,2
1752,大勢の人たちがバスを待っていた。,多くの人たちがバスを待っていた。,3,3,3,3,3,3
3676,ご家族のみなさんはいかがですか。,ご家族のみんなさんはどうですか。,3,2,3,2,3,1
4127,それはとるにたらない問題です。,それは小さな問題です。,3,3,3,3,3,3
1748,何かおかしな物が私の目にとまった。,何かおかしい物が私の目に入った。,2,2,2,3,3,3
2581,助けていただいてありがとうございます。,助けてくれてありがとう。,2,3,3,3,3,3
484,わたしからはこれ以上お金は絞り取れませんよ。,私からはこれ以上お金は取りたくありませんよ。,3,1,2,3,1,1
1525,トムはクラスの誰にも劣らずよく勉強する。,トムはクラスの誰にも負けずよく勉強する。,3,3,3,3,3,3
2593,これは私には似合いませんでした。,これは私には合いませんでした。,2,2,3,2,2,3
4214,左側通行を守ってください。,左を通って右を通ることを守ってください。,2,1,3,2,1,3
1691,張り紙を出した。,紙を出した。,2,2,3,2,3,3
3766,私達は今年の夏海外旅行に行くつもりです。,私たちは今年の夏外国旅行に行くつもりです。,2,3,3,2,3,3
2734,彼女は給料をたくさんもらっている。,彼女は仕事で多くお金をもらっている。,3,3,3,3,3,3
51,私はいつも彼に服従しなければならない。,私はいつも彼に帰らなければならない。,2,1,1,3,1,1
1517,母親は自分の子供のよいところを見せびらかそうとする。,母は自分の子供のよいところを見せて自慢しようとする。,3,3,3,3,3,3
1055,彼女は親切にも私に切符を買ってくれた。,彼女は親切にも私にチケットを買ってくれた。,2,3,3,2,3,3
2648,だれでもみなそのニュースを知っている。,誰でもみんなそのニュースを知っている。,2,3,3,2,3,3
3214,家のうらに広い庭があった。,家の裏に広い庭があった。,2,3,3,2,3,3
884,いつでも家で待機しています。,いつでも家に残っています。,3,3,3,2,2,3
1930,彼女は一生懸命勉強していたに違いない。,彼女は頑張って勉強していたに違いない。,3,3,3,3,3,3
43,彼は私より３歳年上である。,彼は私より３歳年が上である。,2,3,3,2,3,3
376,彼は彼女に一目惚れした。,彼は彼女に１度見た時に好きになった。,3,1,2,3,3,3
4572,少年がとぶのを見てごらん。,少年が飛ぶのを見てみて。,3,3,3,3,3,3
1173,私といっしょに来なさい。,私と一緒に来なさい。,2,3,3,2,3,3
716,娘は来年成年に達します。,娘は次の年２０歳に達します。,3,3,3,3,3,3
1876,だれがドアを開けっ放しにしたのだ。,誰がドアを開けたままにしたのだ。,3,3,3,3,3,3
1154,御家族はいかがお過ごしですか。,御家族はどのようにお過ごしですか。,3,3,3,3,3,3
3284,彼はそんなことを言うほど愚かではなかった。,彼はそんなことを言うほど馬鹿ではなかった。,3,3,3,3,3,3
3868,この町は、暮らしにくい。,この町は、生活が難しい。,3,2,3,3,3,3
